id,name,code,agent,rate
0,安智市场,anzhiMarket,tt,0
1,安卓市场,androidMarket,tt,0
2,木蚂蚁,mumayiMarket,tt,0
3,机锋市场,gfanMarket,tt,0
4,应用汇,appchinaMarket,tt,0
5,91,91Market,tt,0
6,百度,baiduMarket,tt,0
7,腾讯,tencentMarket,tt,0
8,360,360Market,b,0.5
9,中国移动,chinaMobileMarket,tt,0
10,中国联通,chinaUnicomMarket,tt,0
11,中国电信,chinaDianxinMarket,tt,0
12,official site,officialSite,b,0.5
13,N多网,nduoaMarket,tt,0
14,华为智汇云,huaweiMarket,tt,0
15,网易应用,163Market,tt,0
16,优亿市场,eoeMarket,tt,0
17,搜狗市场,sogouMarket,tt,0
18,oppo应用中心,oppoMarket,yg,0
19,魅族,meizuMarket,tt,0
20,小米,xiaomiMarket,b,0.5
21,乐商店,lenovommMarket,tt,0
22,易用汇,yiyonghuiMarket,tt,0
23,国美,gomeMarket,tt,0
24,京东,jdMarket,tt,0
25,豌豆荚,wandoujiaMarket,tt,0
26,渠道1,channel1,tt,0
27,渠道2,channel2,tt,0
28,百度搜索,baiduSearch,tt,0
29,official site android,officialSiteAndroid,tt,0
30,3g.cn,3gcn,tt,0
31,步步高,bubugao,tt,0
32,安瑞索思,anruisuosi,tt,0
33,98.cn,98cn,tt,0
34,有米网盟1,yumi1,tt,0
35,有米网盟2,yumi2,tt,0
36,有米网盟3,yumi3,tt,0
37,有米网盟4,yumi4,tt,0
38,联通3G加油站PC端,3gpc,tt,0
39,联通3G加油站手机端,3gmobile,tt,0
40,新浪微博粉丝通投放,weibo,tt,0
41,恒晟1,hengs1,tt,0
42,恒晟2,hengs2,tt,0
43,点鑫1,dianxin1,tt,0
44,点鑫2,dianxin2,tt,0
45,舆情口碑,publicOpinion,yg,0
46,移动运营,mobileOperation,yg,0
47,YG官网,OfficialSiteAndroidYG,yg,0
48,QQ,QQ,tt,0
49,QQ浏览器,QQliulanqi,tt,0
50,CRM短信YG,smsyg,tt,0
51,CRM短信TT,smstt,tt,0
52,腾讯应用墙,txappwall,tt,0
53,今日头条,toutiao,tt,0
54,凤凰无线,fenghuang,tt,0
